,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Gol,xG,Cab Int,Cab,DsR,Rec,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
- - -,Int,Jude Bellingham,"MC, ME/MP (C)",44,3.641,2.068,1.800,159,83,10,"10,96",19,75,394,122,"500,4 km","12,33",113,92,3,65,28,8,0,58,22,"18,17","4,3",12,"11,64",158,74,0,9,40,12,40,12
- - -,Int,Robert Lewandowski,"MP (C), DL (C)",45 (1),3.937,988,838,33,64,4,"6,06",5,52,303,53,"516,2 km","7,29",43,27,0,57,121,3,0,51,23,"3,11","9,69",28,"20,91",329,166,0,7,9,0,9,0
- - -,Int,Vinícius Júnior,"ME (I), MP (DI), DL (C)",48 (1),4.080,1.065,912,46,33,5,"6,61",10,77,310,60,"554,3 km","7,7",49,40,0,78,141,5,0,37,19,"2,85","5,4",30,"24,85",306,86,0,8,13,2,13,2
- - -,Int,Antoine Griezmann,"MP (DIC), DL (C)",41 (2),3.588,935,791,38,38,9,"9,18",12,58,298,65,"476,0 km","6,95",69,54,0,35,132,1,0,39,19,"3,44","10,94",31,"21,33",257,62,0,5,29,3,20,2
- - -,Int,Eduardo Camavinga,"DF (I), MC, ME (C)",51 (1),4.158,2.431,2.157,182,67,8,"6,79",8,77,474,145,"584,9 km","13,46",145,105,3,55,37,4,0,67,24,"16,97","6,49",7,"6,84",187,88,7,12,50,10,50,10
- - -,Int,Rodrygo,"ME (D), MP (DI), DL (C)",50 (1),4.032,1.027,876,42,56,1,"2,6",12,68,367,74,"532,8 km","7,23",73,55,0,39,131,0,0,45,21,"2,63","9,4",33,"25,37",305,68,0,9,21,4,21,4
- - -,,Marc-André ter Stegen,POR,44,3.956,1.405,1.252,0,0,0,0,0,0,0,0,"266,1 km",0,6,2,0,0,22,0,0,0,-,"4,96","2,8",0,0,-,-,-,-,-,-,-,-
- - -,Int,Thibaut Courtois,POR,10,890,278,232,0,0,0,0,0,0,0,0,"61,1 km",0,0,-,0,0,4,0,0,0,-,"3,44","4,45",0,0,-,-,-,-,-,-,-,-
- - -,Int,Ronald Araujo,"DF (DC), CR (D)",46,4.021,3.015,2.776,162,9,3,"1,89",1,9,138,46,"508,7 km","6,22",61,48,9,40,20,9,1,82,31,"20,23","1,68",0,"2,73",284,215,57,15,7,1,7,1
- - -,Int,Frenkie de Jong,"MC, ME (C)",48,3.557,2.160,1.924,210,66,14,"12,33",21,50,418,130,"506,0 km","11,59",122,79,4,26,30,0,0,66,24,"16,35","5,41",3,"4,63",120,59,1,20,21,5,21,5
- - -,Int,Federico Valverde,"MC, ME (DC), MP (D)",47 (4),4.030,2.560,2.300,241,60,8,"8,79",16,55,457,143,"589,7 km","13,33",143,93,4,37,43,0,0,91,35,"13,67","4,91",1,"5,04",128,81,2,18,26,7,26,7
- - -,,Pedri,"ME (C), MP (DIC)",42 (1),3.402,1.903,1.632,173,89,7,"9,9",18,76,417,117,"480,2 km","12,99",98,82,3,21,53,2,0,59,23,"13,89","9,42",8,"8,82",88,24,0,8,50,9,50,9
- - -,,İlkay Gündoğan,"MC, ME/MP (C)",40 (3),3.407,2.048,1.812,197,97,7,"8,8",21,46,378,133,"481,6 km","12,13",114,90,1,52,24,5,0,60,22,"16,35","6,5",4,"5,71",108,41,2,12,30,7,30,7
- - -,Int,Jan Oblak,POR,43,3.870,1.353,1.230,0,0,0,0,0,0,0,0,"264,9 km",0,3,1,0,2,33,2,0,0,-,"3,4","6,12",0,0,-,-,-,-,-,-,-,-
- - -,Int,David Alaba,"DF (IC), CR (I), ME (C)",46,3.959,2.843,2.675,248,77,6,"6,07",5,48,255,80,"533,1 km","9,48",100,75,4,40,23,3,0,101,28,"14,8","7,12",1,"1,25",244,163,17,21,28,6,28,6
- - -,,Antonio Rüdiger,DF (C),49,3.963,2.993,2.808,188,11,2,"4,79",3,15,136,51,"512,5 km","6,29",69,52,5,53,14,8,2,89,26,"18,12","2,52",4,"1,74",308,232,24,18,2,1,2,1
- - -,Int,Luka Modrić,ME/MP (C),23 (24),1.933,1.046,903,86,41,6,"9,56",15,19,231,60,"264,6 km","10,89",52,43,2,18,12,3,1,42,10,"16,06","8,66",0,"2,26",60,16,0,6,66,13,17,2
- - -,Int,Mikel Merino,"MC, ME (C)",37 (1),3.210,1.831,1.614,146,73,9,"8,13",13,40,389,110,"458,2 km","13,04",92,79,1,47,31,2,1,47,20,"14,19","10,49",5,"4,46",143,93,0,6,32,9,32,9
- - -,Int,João Cancelo,"DF/CR (DI), ME (D)",19 (5),1.696,1.035,928,154,30,3,"2,77",4,36,173,46,"251,1 km","14,75",65,56,1,24,32,2,1,33,23,"14,65","11,3",1,"1,73",76,50,3,17,46,7,30,7
- - -,Int,Álvaro Morata,DL (C),40 (2),3.089,808,694,30,30,4,"4,75",13,39,237,46,"424,8 km","7,81",46,30,0,59,83,4,0,39,13,"2,39","19,35",22,"16,01",248,114,0,6,16,0,16,0
- - -,Int,Ferran Torres,"ME (D), MP (DI), DL (C)",50,3.566,1.468,1.264,119,67,3,"5,35",8,110,512,141,"491,1 km","13,22",119,94,4,44,66,1,0,64,24,"5,02","16,05",14,"12,77",198,69,0,13,115,17,115,17
- - -,Seg,Andreas Christensen,DF (C),49,4.268,3.106,2.931,214,12,3,"2,55",2,12,149,54,"543,4 km","5,19",69,49,10,27,14,3,1,91,34,"17,19","2,26",0,"1,65",310,188,15,19,6,3,6,3
- - -,Int,Koke,"MC, ME (DIC)",39 (2),3.176,1.864,1.673,151,70,6,"6,17",13,42,357,113,"440,0 km","11,9",103,84,1,45,23,5,1,59,13,"13,29","12,02",0,"2,52",112,38,0,8,82,11,43,5
- - -,Int,José Gayà,DF/CR/ME/MP (I),34,3.046,1.859,1.683,223,72,5,"3,86",10,70,309,78,"416,7 km","13,5",100,82,9,41,53,4,0,74,31,"15,36","10,16",1,"1,89",128,46,20,23,233,35,73,13
- - -,Int,Éder Militão,DF (C),4,360,267,258,18,0,0,0,1,2,11,3,"43,0 km","4,75",7,7,1,3,1,1,0,11,1,"17,75",2,0,"0,14",25,20,2,1,1,1,1,1
- - -,Int,Rodrigo De Paul,ME/MP (DC),38 (2),2.977,1.551,1.378,122,57,8,"10,47",9,62,373,108,"415,7 km","10,64",87,66,1,50,21,9,2,47,22,"13,24","14,27",4,"4,86",80,29,0,11,102,21,38,11
- - -,Int,Dani Carvajal,DF/CR (D),32 (3),2.623,1.811,1.679,214,17,5,"3,37",2,71,249,62,"372,0 km","14,07",86,66,0,46,26,2,0,86,20,"13,86","16,85",1,"0,9",139,100,22,24,33,10,33,10
- - -,Int,Jules Koundé,"DF (DC), CR (D)",15 (6),1.504,1.160,1.091,113,8,2,"1,08",2,13,59,16,"196,7 km","8,08",23,19,2,12,8,0,0,36,11,"18,25","4,85",0,"0,7",100,63,17,6,4,1,4,1
- - -,Int,Mikel Oyarzábal,"MP (DIC), DL (C)",34 (2),2.566,913,801,58,33,2,"3,76",7,54,279,67,"343,3 km","11,57",63,55,1,37,54,0,0,32,16,"5,65","13,15",7,"8,68",213,73,0,3,95,15,51,12
- - -,Int,Gerard Moreno,"MP (DC), DL (C)",41 (3),3.208,847,724,42,38,4,"2,98",2,27,255,65,"430,1 km","7,15",62,45,0,24,85,0,0,30,15,"2,22","14,87",18,"17,42",251,107,0,3,19,4,19,4
- - -,,Raphinha,"ME (D), MP (DI)",35,2.641,1.123,952,74,40,1,"4,9",11,111,369,117,"373,7 km","16,15",105,81,2,48,42,2,0,48,22,"6,1","16,8",8,"8,12",111,24,0,9,248,44,63,14
