,,,,
Inf,Rec,División,Juega en,Nombre
,- - -,Primera División Federación B española,ESP,Aarón - Español
Juv,- - -,Segunda División española,ESP,Aarón - Español
Seg,- - -,Segunda División española,ESP,Aarón - Español
Seg,- - -,Segunda División Federación Grupo 3 española,ESP,Carlos Abad - Español
Les,- - -,Segunda División Federación Grupo 4 española,ESP,David Abad - Español
,- - -,Segunda División española,ESP,Toni Abad - Español
,- - -,Primera División Federación B española,ESP,Haitam Abaida - Marroquí
Les,- - -,Primera División Federación A española,ESP,Rodrigo Abajas - Español
,- - -,Primera División Federación A española,ESP,Abde - Marroquí
,- - -,Segunda División Federación Grupo 4 española,ESP,Abde - Argelino
,- - -,Primera División española,ESP,Abde - Argelino
,- - -,Segunda División Federación Grupo 3 española,ESP,Monir Abdeselam - Español
,- - -,Primera División Federación B española,ESP,Sabit Abdulai - Ghanés
,- - -,Segunda División Federación Grupo 5 española,ESP,Abel - Español
,- - -,Segunda División Federación Grupo 1 española,ESP,Abel González - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Nacho Abeledo - Español
,- - -,Primera División Federación A española,ESP,Brais Abelenda - Español
,- - -,Segunda División Federación Grupo 4 española,ESP,Mario Abenza - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Nabil Aberdin - Francés
,- - -,Segunda División Federación Grupo 5 española,ESP,Javier Ablanque - Español
Seg,- - -,Primera División española,ESP,Abner Vinicius - Brasileño
,- - -,Primera División española,ESP,Abou - Marfileño
Juv,- - -,Primera División española,ESP,Pierre Aboubakar - Camerunés
Seg,- - -,Primera División española,ESP,Abdelkabir Abqar - Marroquí
,- - -,Segunda División Federación Grupo 3 española,ESP,Abraham - Español
Seg,- - -,Segunda División Federación Grupo 1 española,ESP,Abraham - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Cristian Abreu - Español
,- - -,Segunda División Federación Grupo 4 española,ESP,Marco Abreu - Francés
,- - -,Segunda División Federación Grupo 3 española,ESP,Vicent Abril - Español
Int,- - -,Segunda División española,ESP,Diyaeddine Abzi - Canadiense
,- - -,Segunda División española,ESP,Álvaro Aceves - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Guillermo Acín - Español
,- - -,Segunda División Federación Grupo 4 española,ESP,Facundo Ackermann - Uruguayo
,- - -,Primera División Federación B española,ESP,Luis Acosta - Español
,- - -,Segunda División Federación Grupo 3 española,ESP,Miguel Acosta - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Gideon Acquah - Ghanés
,- - -,Primera División española,ESP,Jesús Acuña - Español
Les,- - -,Primera División española,ESP,Marcos Acuña - Argentino
,- - -,Segunda División Federación Grupo 2 española,ESP,Adama - Senegalés
Juv,- - -,Segunda División Federación Grupo 4 española,ESP,Caleb Adamu - Español
Juv,- - -,Segunda División Federación Grupo 5 española,ESP,Aday - Español
Seg,- - -,Segunda División española,ESP,Emmanuel Addai - Ghanés
,- - -,Segunda División Federación Grupo 4 española,ESP,Dolapo Adebowale - Nigeriano
,- - -,Segunda División Federación Grupo 3 española,ESP,Edu Adell - Español
,- - -,Primera División Federación B española,ESP,Adilson - Portugués
,- - -,Primera División Federación B española,ESP,Admonio - Guineo
,- - -,Segunda División Federación Grupo 1 española,ESP,Adolfo - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Mario Adot - Español
,- - -,Primera División Federación A española,ESP,Paris Adot - Español
,- - -,Segunda División Federación Grupo 1 española,ESP,Adri - Español
Juv,- - -,Segunda División Federación Grupo 5 española,ESP,Adri - Español
Seg,- - -,Primera División Federación B española,ESP,Adri López - Español
,- - -,Segunda División Federación Grupo 1 española,ESP,Adri Pérez - Español
Juv,- - -,Segunda División española,ESP,Adrià - Español
Juv,- - -,Segunda División Federación Grupo 3 española,ESP,Adrià - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Adrián - Argentino
Juv,- - -,Primera División española,ESP,Adrián - Español
Juv,- - -,Segunda División española,ESP,Adrián - Español
Ofer,- - -,Primera División Federación A española,ESP,Adrián - Español
Juv,- - -,Primera División Federación A española,ESP,Adrián - Español
,- - -,Primera División Federación A española,ESP,Adrián - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Adrián Fernández - Español
,- - -,Segunda División española,ESP,Adrián García - Español
Ced,- - -,Segunda División española,ESP,Adrián González - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Adrián López - Español
,- - -,Segunda División Federación Grupo 3 española,ESP,Adrián Pérez - Español
,- - -,Primera División española,ESP,Adrián Pérez - Español
,- - -,Primera División Federación A española,ESP,Javi Afonso - Español
Les,- - -,Segunda División española,ESP,Alberto Agirre - Español
,- - -,Segunda División Federación Grupo 3 española,ESP,Gorka Agirre - Español
,- - -,Primera División Federación A española,ESP,Unai Agirre - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Jon Agirrezabala - Español
,- - -,Primera División española,ESP,Julen Agirrezabala - Español
Ctr,- - -,Segunda División Federación Grupo 2 española,ESP,Enrique Agote - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Unax Agote - Español
,- - -,Primera División española,ESP,Lucien Agoumé - Camerunés
,- - -,Segunda División española,ESP,Álvaro Aguado - Español
,- - -,Primera División española,ESP,Diego Aguado - Español
,- - -,Segunda División Federación Grupo 4 española,ESP,Erik Aguado - Mexicano
,- - -,Segunda División Federación Grupo 5 española,ESP,Luis Aguado - Español
Seg,- - -,Segunda División española,ESP,Marc Aguado - Español
Les,- - -,Segunda División Federación Grupo 5 española,ESP,David Agudo - Español
,- - -,Primera División Federación B española,ESP,Agüero - Español
,- - -,Segunda División Federación Grupo 3 española,ESP,Juan Agüero - Argentino
Seg,- - -,Primera División Federación A española,ESP,Eneko Aguilar - Español
,- - -,Segunda División Federación Grupo 4 española,ESP,Iván Aguilar - Español
Juv,- - -,Primera División Federación B española,ESP,Juanqui Aguilar - Español
,- - -,Segunda División Federación Grupo 4 española,ESP,Adrián Aguirre - Español
,- - -,Segunda División Federación Grupo 1 española,ESP,Diego Aguirre - Español
Seg,- - -,Primera División Federación A española,ESP,Jorge Aguirre - Español
Juv,- - -,Primera División Federación A española,ESP,Agustín - Español
,- - -,Primera División Federación A española,ESP,Sergio Aguza - Español
Juv,- - -,Primera División Federación A española,ESP,Alex Agwu - Español
,- - -,Primera División Federación B española,ESP,Aisar Ahmed - Español
Seg,- - -,Primera División Federación A española,ESP,Ahn June-Hyuk - Surcoreano
,- - -,Segunda División española,ESP,Aidan Pérez - Español
,- - -,Primera División española,ESP,Joseph Aidoo - Ghanés
,- - -,Primera División española,ESP,Aimar - Español
Ret,- - -,Segunda División Federación Grupo 2 española,ESP,Aimar - Español
,- - -,Segunda División Federación Grupo 4 española,ESP,Hamza Ait Alla - Marroquí
,- - -,Segunda División Federación Grupo 5 española,ESP,Mohamed Ait Haddou - Marroquí
,- - -,Primera División Federación A española,ESP,Aitor - Español
,- - -,Primera División española,ESP,Aitor Fernández - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Aitor Lorá - Ecuatoguineano
,- - -,Segunda División Federación Grupo 2 española,ESP,Borja Aizpun - Español
Juv,- - -,Segunda División española,ESP,Alberto Aizpurua - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Javier Akapo - Ecuatoguineano
Pet,- - -,Segunda División Federación Grupo 2 española,ESP,Mariano Aké - Burkinés
Opc,- - -,Segunda División española,ESP,Ager Aketxe - Español
Seg,- - -,Primera División española,ESP,Ilias Akhomach - Español
,- - -,Segunda División Federación Grupo 4 española,ESP,Kennedy Akumagoa - Español
Juv,- - -,Primera División Federación A española,ESP,Ahmed Al-Bloushi - Catarí
Juv,- - -,Segunda División Federación Grupo 3 española,ESP,Mohammed Al-Bloushi - Catarí
Juv,- - -,Primera División Federación A española,ESP,Yousef Al-Marri - Catarí
Int,- - -,Primera División española,ESP,David Alaba - Austríaco
,- - -,Segunda División Federación Grupo 1 española,ESP,Alain - Español
,- - -,Primera División Federación B española,ESP,Alain García - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Ariday Álamo - Español
,- - -,Segunda División española,ESP,Jony Álamo - Español
Seg,- - -,Primera División Federación A española,ESP,Ángel Alarcón - Español
,- - -,Primera División Federación B española,ESP,Roberto Alarcón - Español
,- - -,Segunda División española,ESP,Tomás Alarcón - Chileno
,- - -,Primera División Federación B española,ESP,Alassan - Guineo
,- - -,Primera División Federación A española,ESP,Jorge Alastuey - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Íñigo Alayeto - Español
Juv,- - -,Primera División Federación B española,ESP,Alejandro Alba - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Álex Alba - Español
,- - -,Primera División Federación A española,ESP,David Alba - Español
,- - -,Primera División española,ESP,Hugo Alba - Español
,- - -,Primera División Federación A española,ESP,Javi Alba - Español
,- - -,Primera División Federación B española,ESP,Txus Alba - Español
,- - -,Segunda División española,ESP,Christos Albanis - Griego
,- - -,Primera División Federación B española,ESP,Carlos Albarrán - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Iñaki Alberca - Español
,- - -,Segunda División española,ESP,Albert - Español
,- - -,Segunda División Federación Grupo 1 española,ESP,Alberto - Español
Juv,- - -,Primera División Federación A española,ESP,Alberto - Español
,- - -,Primera División Federación A española,ESP,Alberto - Español
,- - -,Segunda División Federación Grupo 1 española,ESP,Alberto - Español
Juv,- - -,Segunda División española,ESP,Alberto - Español
Seg,- - -,Primera División Federación A española,ESP,Alberto - Español
Juv,- - -,Primera División Federación B española,ESP,Alberto - Español
Juv,- - -,Segunda División Federación Grupo 5 española,ESP,Alberto - Español
,- - -,Segunda División Federación Grupo 3 española,ESP,Alberto Fernández - Español
,- - -,Primera División Federación B española,ESP,Alberto González - Español
Seg,- - -,Segunda División Federación Grupo 1 española,ESP,Alberto Martín - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Alberto Rodríguez - Español
Ced,- - -,Segunda División Federación Grupo 1 española,ESP,Alberto Sánchez - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Javier Albín - Español
,- - -,Primera División española,ESP,Raúl Albiol - Español
Juv,- - -,Primera División Federación A española,ESP,Ibon Albistegi - Español
,- - -,Primera División Federación B española,ESP,Haritz Albisua - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Aitor Albizu - Español
Juv,- - -,Segunda División Federación Grupo 3 española,ESP,Daniel Albors - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Albur - Español
,- - -,Segunda División Federación Grupo 2 española,ESP,Raúl Alcaina - Español
Ret,- - -,Segunda División española,ESP,Pedro Alcalá - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Aday Alcalde - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,Jacobo Alcalde - Español
Seg,- - -,Primera División Federación B española,ESP,Luis Alcalde - Español
