,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Enc,xGE,BAt,BDs,Rp %,BRe,Pas I,Pas C,Portería imbatida,Pep %,Paradas/90,Pen. parados,Prop. penaltis parados,Gl Err,Pos Gan/90,Pos Perd/90
- - -,Int,Jude Bellingham,"MC, ME/MP (C)",44,3.641,-,-,-,-,-,-,2.068,1.800,-,-,-,-,-,0,"18,17","4,3"
- - -,Int,Robert Lewandowski,"MP (C), DL (C)",45 (1),3.937,-,-,-,-,-,-,988,838,-,-,-,-,-,0,"3,11","9,69"
- - -,Int,Vinícius Júnior,"ME (I), MP (DI), DL (C)",48 (1),4.080,-,-,-,-,-,-,1.065,912,-,-,-,-,-,0,"2,85","5,4"
- - -,Int,Antoine Griezmann,"MP (DIC), DL (C)",41 (2),3.588,-,-,-,-,-,-,935,791,-,-,-,-,-,0,"3,44","10,94"
- - -,Int,Eduardo Camavinga,"DF (I), MC, ME (C)",51 (1),4.158,-,-,-,-,-,-,2.431,2.157,-,-,-,-,-,0,"16,97","6,49"
- - -,Int,Rodrygo,"ME (D), MP (DI), DL (C)",50 (1),4.032,-,-,-,-,-,-,1.027,876,-,-,-,-,-,0,"2,63","9,4"
- - -,,Marc-André ter Stegen,POR,44,3.956,32,"16,42",31,16,81%,87,1.405,1.252,19,87%,3,2,33%,0,"4,96","2,8"
- - -,Int,Thibaut Courtois,POR,10,890,10,"-1,4",4,3,66%,13,278,232,4,89%,2,0,-,0,"3,44","4,45"
- - -,Int,Ronald Araujo,"DF (DC), CR (D)",46,4.021,-,-,-,-,-,-,3.015,2.776,-,-,-,-,-,0,"20,23","1,68"
- - -,Int,Frenkie de Jong,"MC, ME (C)",48,3.557,-,-,-,-,-,-,2.160,1.924,-,-,-,-,-,0,"16,35","5,41"
- - -,Int,Federico Valverde,"MC, ME (DC), MP (D)",47 (4),4.030,-,-,-,-,-,-,2.560,2.300,-,-,-,-,-,0,"13,67","4,91"
- - -,,Pedri,"ME (C), MP (DIC)",42 (1),3.402,-,-,-,-,-,-,1.903,1.632,-,-,-,-,-,0,"13,89","9,42"
- - -,,İlkay Gündoğan,"MC, ME/MP (C)",40 (3),3.407,-,-,-,-,-,-,2.048,1.812,-,-,-,-,-,0,"16,35","6,5"
- - -,Int,Jan Oblak,POR,43,3.870,47,"1,85",32,25,73%,71,1.353,1.230,13,90%,2,1,33%,1,"3,4","6,12"
- - -,Int,David Alaba,"DF (IC), CR (I), ME (C)",46,3.959,-,-,-,-,-,-,2.843,2.675,-,-,-,-,-,0,"14,8","7,12"
- - -,,Antonio Rüdiger,DF (C),49,3.963,-,-,-,-,-,-,2.993,2.808,-,-,-,-,-,0,"18,12","2,52"
- - -,Int,Luka Modrić,ME/MP (C),23 (24),1.933,-,-,-,-,-,-,1.046,903,-,-,-,-,-,0,"16,06","8,66"
- - -,Int,Mikel Merino,"MC, ME (C)",37 (1),3.210,-,-,-,-,-,-,1.831,1.614,-,-,-,-,-,0,"14,19","10,49"
- - -,Int,João Cancelo,"DF/CR (DI), ME (D)",19 (5),1.696,-,-,-,-,-,-,1.035,928,-,-,-,-,-,0,"14,65","11,3"
