,,,,,,,,,,,
Inf,Rec,Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
Int,- - -,Jude Bellingham - Inglés,30/6/2029,1.729.000 € p/m,N/D,N/D,Felix Gerlach,278M € - 303M €,-,-,1Mil.M €
Int,- - -,Robert Lewandowski - Polaco,30/6/2026,1.496.000 € p/m,N/D,N/D,Alexander Peters,No a la venta,-,-,500M €
Int,- - -,Vinícius Júnior - Brasileño,30/6/2027,1.729.000 € p/m,N/D,N/D,Rodrigo Casanova,216M € - 259M €,-,-,750M €
Int,- - -,Antoine Griezmann - Francés,30/6/2026,1.163.000 € p/m,N/D,N/D,José Andrés Domínguez,No a la venta,-,-,500M €
Int,- - -,Eduardo Camavinga - Francés,30/6/2029,690.000 € p/m,N/D,N/D,Romain Bellocq,222M € - 244M €,-,-,1Mil.M €
Int,- - -,Rodrygo - Brasileño,30/6/2028,1.000.000 € p/m,N/D,N/D,Xavi Aguirre,224M € - 244M €,-,-,1Mil.M €
,- - -,Marc-André ter Stegen - Alemán,30/6/2028,648.000 € p/m,N/D,N/D,Antonio Valiente,No a la venta,-,-,500M €
Int,- - -,Thibaut Courtois - Belga,30/6/2026,1.283.000 € p/m,N/D,N/D,Antonio Vargas,No a la venta,-,-,700M €
Int,- - -,Ronald Araujo - Uruguayo,30/6/2028,625.000 € p/m,N/D,N/D,José Andrés Domínguez,134M € - 196M €,-,-,395M €
Int,- - -,Frenkie de Jong - Holandés,30/6/2028,1.160.000 € p/m,N/D,N/D,Xavi Aguirre,188M € - 212M €,-,-,426M €
Int,- - -,- -,30/6/2029,909.000 € p/m,N/D,N/D,Antonio Valiente,203M € - 244M €,-,-,1Mil.M €
,- - -,- -,30/6/2028,745.000 € p/m,N/D,N/D,Xavi Aguirre,94M € - 116M €,-,-,474M €
,- - -,- -,30/6/2025,758.000 € p/m,N/D,N/D,Alex Moody,16M € - 20M €,-,-,400M €
Int,- - -,- -,30/6/2028,1.543.000 € p/m,N/D,N/D,Antonio José Albarrán,No a la venta,-,-,120M €
Int,- - -,- -,30/6/2026,1.870.000 € p/m,N/D,N/D,Thomas Schmitt,No a la venta,-,-,850M €
,- - -,- -,30/6/2026,1.205.000 € p/m,N/D,N/D,Danny Chandler,No a la venta,-,-,247M €
Int,- - -,- -,30/6/2025,1.033.000 € p/m,N/D,N/D,Xavi Aguirre,"700m € - 10,5M €",-,-,"15,75M €"
Int,- - -,- -,30/6/2027,342.000 € p/m,N/D,N/D,Álvaro Trigo,64M € - 98M €,-,-,102M €
Int,- - -,- -,30/6/2027,1.112.000 € p/m,N/D,N/D,Juan Antonio Yubero,48M € - 60M €,-,-,-
Int,- - -,- -,30/6/2026,552.000 € p/m,N/D,N/D,Rubén Cornejo,No a la venta,-,-,215M €
Int,- - -,- -,30/6/2029,836.000 € p/m,N/D,N/D,Will Law,78M € - 95M €,-,-,468M €
Seg,- - -,- -,30/6/2028,1.000.000 € p/m,N/D,N/D,Leon Whalley,46M € - 58M €,-,-,292M €
Int,- - -,- -,30/6/2025,899.000 € p/m,N/D,N/D,Antonio José Albarrán,64M € - 98M €,-,-,274M €
Int,- - -,- -,30/6/2027,292.000 € p/m,N/D,N/D,Julio César Rodríguez,70M € - 84M €,-,-,100M €
Int,- - -,- -,30/6/2028,772.000 € p/m,N/D,N/D,Rodrigo Casanova,107M € - 163M €,-,-,1Mil.M €
Int,- - -,- -,30/6/2027,513.000 € p/m,N/D,N/D,Ivan Nardi,70M € - 89M €,-,-,369M €
Int,- - -,- -,30/6/2025,864.000 € p/m,N/D,N/D,José Luis Ramos,22M €,-,-,350M €
Int,- - -,- -,30/6/2027,792.000 € p/m,N/D,N/D,Antonio José Albarrán,62M € - 94M €,-,-,1Mil.M €
Int,- - -,- -,30/6/2028,187.000 € p/m,N/D,N/D,Jairo Olivera,59M € - 75M €,-,-,75M €
Int,- - -,- -,30/6/2027,223.000 € p/m,N/D,N/D,Fernando Nadal,No a la venta,-,-,100M €
,- - -,- -,30/6/2027,1.000.000 € p/m,N/D,N/D,Neil Hall,63M € - 76M €,-,-,999M €
Int,- - -,- -,30/6/2024,213.000 € p/m,N/D,N/D,Javier Rodríguez,"7M € - 8,8M €",-,-,80M €
,- - -,- -,30/6/2028,748.000 € p/m,N/D,N/D,Juan Antonio Yubero,135M € - 163M €,-,-,135M €
Int,- - -,- -,30/6/2028,623.000 € p/m,N/D,N/D,Julián Guillén,70M € - 106M €,-,-,1Mil.M €
Seg,- - -,- -,30/6/2025,864.000 € p/m,N/D,N/D,Antonio Vargas,24M € - 30M €,-,-,250M €
,- - -,- -,30/6/2026,556.000 € p/m,N/D,N/D,Marc Montalbán,80M € - 101M €,-,-,-
Int,- - -,- -,30/6/2029,1.133.000 € p/m,N/D,N/D,Antonio Valiente,51M € - 78M €,-,-,350M €
Seg,- - -,- -,30/6/2024,2.019.000 € p/m,N/D,N/D,Antonio Vargas,"180m € - 1,8M €",-,-,500M €
Int,- - -,- -,30/6/2027,188.000 € p/m,N/D,N/D,Andrea Dolfi,83M € - 100M €,-,-,109M €
,- - -,- -,30/6/2028,1.039.000 € p/m,N/D,N/D,Francis Gouin,57M € - 87M €,-,-,432M €
Int,- - -,- -,30/6/2025,801.000 € p/m,N/D,N/D,María Mosquera,25M € - 37M €,-,-,400M €
,- - -,- -,30/6/2028,687.000 € p/m,N/D,N/D,Rodrigo Casanova,95M € - 115M €,-,-,352M €
,- - -,- -,30/6/2025,332.000 € p/m,N/D,N/D,Ignacio Tinoco,"5,2M € - 8M €",-,-,16M €
Ret,- - -,- -,30/6/2025,202.000 € p/m,N/D,N/D,Nathan Boyer,"650m € - 9,8M €",-,-,36M €
Int,- - -,- -,30/6/2026,156.000 € p/m,N/D,N/D,Ernesto Cabrera,77M € - 117M €,-,-,130M €
Int,- - -,- -,30/6/2028,357.000 € p/m,N/D,N/D,María Mosquera,56M € - 70M €,-,-,70M €
Int,- - -,- -,30/6/2028,190.000 € p/m,N/D,N/D,Matt Atkinson,66M € - 101M €,-,-,79M €
Int,- - -,- -,30/6/2028,417.000 € p/m,N/D,N/D,Iago Menéndez,41M € - 62M €,-,-,120M €
,- - -,- -,30/6/2027,607.000 € p/m,N/D,N/D,Javi Barbero,48M € - 60M €,-,-,750M €
