,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Club,Posición,Altura,Peso,Edad,Pierna buena,Personalidad,Conocimientos,Felicidad general,Media,Nac,RM,Estilo
- - -,Int,Jude Bellingham,R. Madrid,"MC, ME/MP (C)",186 cm,75 kg,20,Derecha,Perfeccionista,---,Está contento por estar en un equipo con éxito,7.41,ENG,Excepcional,Líder
- - -,Int,Robert Lewandowski,Barcelona,"MP (C), DL (C)",185 cm,80 kg,35,Derecha,Profesional,---,Está contento por estar en un equipo con éxito,7.27,POL,Excepcional,Inteligente
- - -,Int,Vinícius Júnior,R. Madrid,"ME (I), MP (DI), DL (C)",176 cm,73 kg,23,Derecha,Perfeccionista,---,Está contento por estar en un equipo con éxito,7.14,BRA,Excepcional,Físico
- - -,Int,Antoine Griezmann,A. Madrid,"MP (DIC), DL (C)",175 cm,70 kg,33,Izquierda,Resuelto,---,Está contento por estar en un equipo con éxito,7.30,FRA,Soberbia+,Creativo
- - -,Int,Eduardo Camavinga,R. Madrid,"DF (I), MC, ME (C)",182 cm,68 kg,21,Izquierda,Enérgico,---,Está contento por estar en un equipo con éxito,7.26,FRA,Soberbia+,Físico
- - -,Int,Rodrygo,R. Madrid,"ME (D), MP (DI), DL (C)",174 cm,64 kg,23,Derecha,Bastante profesional,---,Está contento por estar en un equipo con éxito,7.20,BRA,Soberbia+,Físico
- - -,,Marc-André ter Stegen,Barcelona,POR,187 cm,85 kg,32,Derecha,Profesional,---,Está contento por estar en un equipo con éxito,7.24,GER,Soberbia+,Distribuidor
- - -,Int,Thibaut Courtois,R. Madrid,POR,200 cm,96 kg,32,Izquierda,Enérgico,---,Está contento por estar en un equipo con éxito,6.89,BEL,Soberbia+,Distribuidor
- - -,Int,Ronald Araujo,Barcelona,"DF (DC), CR (D)",188 cm,91 kg,25,Derecha,Motivado,---,Sin preocupaciones actualmente,7.12,URU,Soberbia+,Líder
- - -,Int,Frenkie de Jong,Barcelona,"MC, ME (C)",181 cm,69 kg,27,Derecha,Resuelto,---,Está contento por estar en un equipo con éxito,7.21,NED,Soberbia+,Inteligente
- - -,Int,Federico Valverde,R. Madrid,"MC, ME (DC), MP (D)",182 cm,78 kg,25,Derecha,Perfeccionista,---,Está contento por estar en un equipo con éxito,07.08,URU,Soberbia+,Físico
- - -,,Pedri,Barcelona,"ME (C), MP (DIC)",174 cm,65 kg,21,Derecha,Bastante profesional,---,Está contento por estar en un equipo con éxito,7.26,ESP,Soberbia+,Creativo
- - -,,İlkay Gündoğan,Barcelona,"MC, ME/MP (C)",180 cm,80 kg,33,Derecha,Profesional,---,Está contento por estar en un equipo con éxito,7.21,GER,Soberbia+,Inteligente
- - -,Int,Jan Oblak,A. Madrid,POR,189 cm,84 kg,31,Derecha,Alegre,---,Está contento por estar en un equipo con éxito,6.93,SVN,Soberbia+,Distribuidor
- - -,Int,David Alaba,R. Madrid,"DF (IC), CR (I), ME (C)",180 cm,78 kg,31,Izquierda,Enérgico,---,Está contento por estar en un equipo con éxito,7.12,AUT,Soberbia+,Técnico
- - -,,Antonio Rüdiger,R. Madrid,DF (C),190 cm,86 kg,31,Derecha,Ambicioso,---,Está contento por estar en un equipo con éxito,07.06,GER,Soberbia,Físico
- - -,Int,Luka Modrić,R. Madrid,ME/MP (C),172 cm,66 kg,38,Derecha,Ciudadano modelo,---,Está contento por estar en un equipo con éxito,6.95,CRO,Soberbia,Técnico
- - -,Int,Mikel Merino,Real San Sebastián,"MC, ME (C)",187 cm,79 kg,27,Izquierda,Resuelto,---,Está contento por estar en un equipo con éxito,7.36,ESP,Soberbia,Físico
- - -,Int,João Cancelo,Barcelona,"DF/CR (DI), ME (D)",182 cm,74 kg,30,Derecha,Ambicioso,---,Está contento por estar en un equipo con éxito,07.07,POR,Soberbia,Técnico
- - -,Int,Álvaro Morata,A. Madrid,DL (C),189 cm,84 kg,31,Derecha,Bastante leal,---,Está contento por estar en un equipo con éxito,7.10,ESP,Soberbia,Físico
- - -,Int,Ferran Torres,Barcelona,"ME (D), MP (DI), DL (C)",184 cm,77 kg,24,Derecha,Resuelto,---,Contento por haber firmado un nuevo contrato,7.26,ESP,Soberbia,Físico
- - -,Seg,Andreas Christensen,Barcelona,DF (C),188 cm,78 kg,28,Derecha,Bastante ambicioso,---,,7.00,DEN,Soberbia,Inteligente
- - -,Int,Koke,A. Madrid,"MC, ME (DIC)",178 cm,73 kg,32,Derecha,Resuelto,---,,07.08,ESP,Soberbia,Líder
- - -,Int,José Gayà,Valencia,DF/CR/ME/MP (I),172 cm,66 kg,29,Solo izquierda,Profesional,---,,7.17,ESP,Soberbia,Técnico
- - -,Int,Éder Militão,R. Madrid,DF (C),186 cm,78 kg,26,Derecha,Enérgico,---,,6.97,BRA,Soberbia,Físico
- - -,Int,Rodrigo De Paul,A. Madrid,ME/MP (DC),180 cm,70 kg,30,Derecha,Bastante decidido,---,,07.08,ARG,Soberbia,Técnico
- - -,Int,Dani Carvajal,R. Madrid,DF/CR (D),173 cm,74 kg,32,Derecha,Perfeccionista,---,,07.09,ESP,Soberbia,Líder
- - -,Int,Jules Koundé,Barcelona,"DF (DC), CR (D)",178 cm,70 kg,25,Derecha,Bastante decidido,---,,07.05,FRA,Soberbia,Técnico
- - -,Int,Mikel Oyarzábal,Real San Sebastián,"MP (DIC), DL (C)",180 cm,77 kg,27,Izquierda,Profesional,---,,07.02,ESP,Soberbia,Técnico
- - -,Int,Gerard Moreno,Villarreal,"MP (DC), DL (C)",180 cm,76 kg,32,Izquierda,Resuelto,---,,07.03,ESP,Soberbia,Inteligente
- - -,,Raphinha,Barcelona,"ME (D), MP (DI)",176 cm,68 kg,27,Izquierda,Perfeccionista,---,,7.34,BRA,Soberbia,Técnico
- - -,Int,Guido Rodríguez,Real Hispalis,"MC, ME (C)",185 cm,80 kg,30,Derecha,Resuelto,---,,6.91,ARG,Soberbia,Inteligente
- - -,,Iñaki Williams,A. Bilbao,"ME (DI), MP (DIC), DL (C)",186 cm,80 kg,30,Derecha,Equilibrada,---,,7.18,GHA,Soberbia,Físico
- - -,Int,Alejandro Balde,Barcelona,DF/CR/ME/MP (I),175 cm,69 kg,20,Izquierda,Equilibrada,---,,7.14,ESP,Soberbia,Físico
- - -,Seg,Ferland Mendy,R. Madrid,DF/CR (I),180 cm,73 kg,29,Izquierda,Bastante decidido,---,,7.00,FRA,Soberbia,Físico
- - -,,Kieran Tierney,Real San Sebastián,"DF (IC), CR (I)",178 cm,76 kg,27,Izquierda,Motivado,---,,7.15,SCO,Soberbia,Líder
- - -,Int,João Félix,Barcelona,"MP (DIC), DL (C)",178 cm,74 kg,24,Derecha,Ambicioso,---,,07.02,POR,Soberbia,Creativo
- - -,Seg,Toni Kroos,R. Madrid,"MC, ME (C)",183 cm,76 kg,34,Derecha,Bastante profesional,---,,6.76,GER,Soberbia,Inteligente
- - -,Int,Nahuel Molina,A. Madrid,DF/CR/ME (D),175 cm,70 kg,26,Derecha,Enérgico,---,,6.84,ARG,Soberbia,Técnico
- - -,,Aurélien Tchouameni,R. Madrid,"MC, ME (C)",188 cm,82 kg,24,Derecha,Enérgico,---,,6.86,FRA,Soberbia,Físico
- - -,Int,Memphis Depay,A. Madrid,"ME (I), MP (IC), DL (C)",176 cm,77 kg,30,Derecha,Bastante decidido,---,,6.84,NED,Soberbia,Creativo
- - -,,Gavi,Barcelona,"ME (C), MP (IC)",173 cm,70 kg,19,Derecha,Perfeccionista,---,,6.95,ESP,Soberbia,Líder
- - -,,Nacho,R. Madrid,DF (DIC),180 cm,77 kg,34,Derecha,Profesional,---,,7.14,ESP,Soberbia,Inteligente
- - -,Ret,Sergio Ramos,Sevilla,DF (C),184 cm,80 kg,38,Derecha,Perfeccionista,---,,7.11,ESP,Soberbia,Líder
- - -,Int,Lucas Ocampos,Sevilla,"ME/MP (DI), DL (C)",187 cm,84 kg,29,Derecha,Bastante decidido,---,,6.87,ARG,Soberbia,Líder
- - -,Int,Unai Simón,A. Bilbao,POR,190 cm,89 kg,27,Derecha,Bastante decidido,---,,6.73,ESP,Soberbia,Con autoridad
- - -,Int,Juan Foyth,Villarreal,"DF (DC), MC",187 cm,69 kg,26,Derecha,Equilibrada,---,,6.94,ARG,Soberbia,Técnico
