,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,FC,FR,Ama,Roj.,Rob,Pos Gan/90,Pos Perd/90,Disparos,TaP,Disparos fuera área/90,Gol,Goles fuera del área,xG,xG- SP,Cab Int,Cen.In,Cab,Cen.Com,Cen I-Ab,Cen C-Ab,Fdj,GlEq
- - -,Int,Jude Bellingham,"MC, ME/MP (C)",44,3.641,2.068,1.800,159,83,10,"10,96",19,75,394,122,"500,4 km","12,33",65,28,8,0,58,"18,17","4,3",108,46,"0,91",12,2,"11,64","10,83",158,40,74,12,40,12,7,80
- - -,Int,Robert Lewandowski,"MP (C), DL (C)",45 (1),3.937,988,838,33,64,4,"6,06",5,52,303,53,"516,2 km","7,29",57,121,3,0,51,"3,11","9,69",161,91,"1,21",28,5,"20,91","20,1",329,9,166,0,9,0,35,77
- - -,Int,Vinícius Júnior,"ME (I), MP (DI), DL (C)",48 (1),4.080,1.065,912,46,33,5,"6,61",10,77,310,60,"554,3 km","7,7",78,141,5,0,37,"2,85","5,4",233,128,"1,35",30,6,"24,85","24,85",306,13,86,2,13,2,35,90
- - -,Int,Antoine Griezmann,"MP (DIC), DL (C)",41 (2),3.588,935,791,38,38,9,"9,18",12,58,298,65,"476,0 km","6,95",35,132,1,0,39,"3,44","10,94",185,94,"1,45",31,8,"21,33","21,33",257,29,62,3,20,2,18,65
- - -,Int,Eduardo Camavinga,"DF (I), MC, ME (C)",51 (1),4.158,2.431,2.157,182,67,8,"6,79",8,77,474,145,"584,9 km","13,46",55,37,4,0,67,"16,97","6,49",53,21,"0,41",7,2,"6,84","6,84",187,50,88,10,50,10,7,97
- - -,Int,Rodrygo,"ME (D), MP (DI), DL (C)",50 (1),4.032,1.027,876,42,56,1,"2,6",12,68,367,74,"532,8 km","7,23",39,131,0,0,45,"2,63","9,4",223,115,"1,76",33,10,"25,37","25,37",305,21,68,4,21,4,24,95
- - -,,Marc-André ter Stegen,POR,44,3.956,1.405,1.252,0,0,0,0,0,0,0,0,"266,1 km",0,0,22,0,0,0,"4,96","2,8",0,-,-,0,-,0,0,-,-,-,-,-,-,0,81
- - -,Int,Thibaut Courtois,POR,10,890,278,232,0,0,0,0,0,0,0,0,"61,1 km",0,0,4,0,0,0,"3,44","4,45",0,-,-,0,-,0,0,-,-,-,-,-,-,0,18
- - -,Int,Ronald Araujo,"DF (DC), CR (D)",46,4.021,3.015,2.776,162,9,3,"1,89",1,9,138,46,"508,7 km","6,22",40,20,9,1,82,"20,23","1,68",23,3,"0,13",0,1,"2,73","2,73",284,7,215,1,7,1,4,79
- - -,Int,Frenkie de Jong,"MC, ME (C)",48,3.557,2.160,1.924,210,66,14,"12,33",21,50,418,130,"506,0 km","11,59",26,30,0,0,66,"16,35","5,41",36,11,"0,35",3,0,"4,63","4,63",120,21,59,5,21,5,3,74
