,,,,,
Inf,Rec,Club,División,Juega en,Nombre
,- - -,Intercity,Primera División Federación B española,ESP,Aarón - Español
Juv,- - -,Levante,Segunda División española,ESP,Aarón - Español
Seg,- - -,Mirandés,Segunda División española,ESP,Aarón - Español
Seg,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,Carlos Abad - Español
Les,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,David Abad - Español
,- - -,Eldense,Segunda División española,ESP,Toni Abad - Español
,- - -,Málaga,Primera División Federación B española,ESP,Haitam Abaida - Marroquí
Les,- - -,R. Majadahonda,Primera División Federación A española,ESP,Rodrigo Abajas - Español
,- - -,Sabadell,Primera División Federación A española,ESP,Abde - Marroquí
,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Alavés,Primera División española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Getafe B,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Guadalajara,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Las Palmas,Primera División española,ESP,- -
Juv,- - -,Sevilla,Primera División española,ESP,- -
Seg,- - -,Alavés,Primera División española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,C.D. Estepona,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
Int,- - -,Leganés,Segunda División española,ESP,- -
,- - -,Eldense,Segunda División española,ESP,- -
,- - -,Zaragoza B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Mérida,Primera División Federación B española,ESP,- -
,- - -,La Nucía,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
Les,- - -,Sevilla,Primera División española,ESP,- -
,- - -,A. Bilbao B,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Algeciras,Primera División Federación B española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Oviedo B,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Granada B,Primera División Federación B española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Huesca,Segunda División española,ESP,- -
Juv,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Alavés B,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Vallecano,Primera División española,ESP,- -
Juv,- - -,Huesca,Segunda División española,ESP,- -
Ofer,- - -,Unionistas,Primera División Federación A española,ESP,- -
Juv,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Mirandés,Segunda División española,ESP,- -
Ced,- - -,Elche,Segunda División española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
,- - -,Sestao,Primera División Federación A española,ESP,- -
Les,- - -,Eibar,Segunda División española,ESP,- -
,- - -,Formentera,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
Ctr,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Real San Sebastián C,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Zaragoza,Segunda División española,ESP,- -
Les,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Mérida,Primera División Federación B española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
Juv,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
Juv,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
,- - -,Ceuta,Primera División Federación B española,ESP,- -
Seg,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Vigo,Primera División española,ESP,- -
,- - -,Atlético Pamplona,Primera División española,ESP,- -
Ret,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Náxara,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Oviedo,Segunda División española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
Pet,- - -,Alavés B,Segunda División Federación Grupo 2 española,ESP,- -
Opc,- - -,Eibar,Segunda División española,ESP,- -
Seg,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Leonesa,Primera División Federación A española,ESP,- -
Juv,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Leonesa,Primera División Federación A española,ESP,- -
Int,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Ceuta,Primera División Federación B española,ESP,- -
,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Cartagena,Segunda División española,ESP,- -
Seg,- - -,Barcelona B,Primera División Federación A española,ESP,- -
,- - -,A. Baleares,Primera División Federación B española,ESP,- -
,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,A. Bilbao B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Cornellà,Primera División Federación A española,ESP,- -
,- - -,Antequera,Primera División Federación B española,ESP,- -
,- - -,F.C. Andorra,Segunda División española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Zaragoza,Segunda División española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Zaragoza,Segunda División española,ESP,- -
Seg,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
Juv,- - -,Ceuta,Primera División Federación B española,ESP,- -
Juv,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
Seg,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
Ced,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Villarreal,Primera División española,ESP,- -
Juv,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
Ret,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Huelva,Primera División Federación B española,ESP,- -
