Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Disparos,Disparos fuera área/90,TaP,Gol,Goles fuera del área,xG,Cab Int,Cab,DsR,Rec.1,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
player_0,"MC, ME/MP (C)",44,3.641,2.068,1.800,159,83,10,"10,96",19,75,394,122,"500,4 km","12,33",113,92,3,65,28,8,0,58,22,"18,17","4,3",108,"0,91",46,12,2,"11,64",158,74,0,9,40,12,40,12
player_1,"MP (C), DL (C)",45 (1),3.937,988,838,33,64,4,"6,06",5,52,303,53,"516,2 km","7,29",43,27,0,57,121,3,0,51,23,"3,11","9,69",161,"1,21",91,28,5,"20,91",329,166,0,7,9,0,9,0
player_2,"ME (I), MP (DI), DL (C)",48 (1),4.080,1.065,912,46,33,5,"6,61",10,77,310,60,"554,3 km","7,7",49,40,0,78,141,5,0,37,19,"2,85","5,4",233,"1,35",128,30,6,"24,85",306,86,0,8,13,2,13,2
player_3,"MP (DIC), DL (C)",41 (2),3.588,935,791,38,38,9,"9,18",12,58,298,65,"476,0 km","6,95",69,54,0,35,132,1,0,39,19,"3,44","10,94",185,"1,45",94,31,8,"21,33",257,62,0,5,29,3,20,2
player_4,"DF (I), MC, ME (C)",51 (1),4.158,2.431,2.157,182,67,8,"6,79",8,77,474,145,"584,9 km","13,46",145,105,3,55,37,4,0,67,24,"16,97","6,49",53,"0,41",21,7,2,"6,84",187,88,7,12,50,10,50,10
player_5,"ME (D), MP (DI), DL (C)",50 (1),4.032,1.027,876,42,56,1,"2,6",12,68,367,74,"532,8 km","7,23",73,55,0,39,131,0,0,45,21,"2,63","9,4",223,"1,76",115,33,10,"25,37",305,68,0,9,21,4,21,4
player_6,POR,44,3.956,1.405,1.252,0,0,0,0,0,0,0,0,"266,1 km",0,6,2,0,0,22,0,0,0,-,"4,96","2,8",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_7,POR,10,890,278,232,0,0,0,0,0,0,0,0,"61,1 km",0,0,-,0,0,4,0,0,0,-,"3,44","4,45",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_8,"DF (DC), CR (D)",46,4.021,3.015,2.776,162,9,3,"1,89",1,9,138,46,"508,7 km","6,22",61,48,9,40,20,9,1,82,31,"20,23","1,68",23,"0,13",3,0,1,"2,73",284,215,57,15,7,1,7,1
player_9,"MC, ME (C)",48,3.557,2.160,1.924,210,66,14,"12,33",21,50,418,130,"506,0 km","11,59",122,79,4,26,30,0,0,66,24,"16,35","5,41",36,"0,35",11,3,0,"4,63",120,59,1,20,21,5,21,5
player_10,"MC, ME (DC), MP (D)",47 (4),4.030,2.560,2.300,241,60,8,"8,79",16,55,457,143,"589,7 km","13,33",143,93,4,37,43,0,0,91,35,"13,67","4,91",35,"0,25",9,1,4,"5,04",128,81,2,18,26,7,26,7
player_11,"ME (C), MP (DIC)",42 (1),3.402,1.903,1.632,173,89,7,"9,9",18,76,417,117,"480,2 km","12,99",98,82,3,21,53,2,0,59,23,"13,89","9,42",84,"0,74",37,8,2,"8,82",88,24,0,8,50,9,50,9
player_12,"MC, ME/MP (C)",40 (3),3.407,2.048,1.812,197,97,7,"8,8",21,46,378,133,"481,6 km","12,13",114,90,1,52,24,5,0,60,22,"16,35","6,5",54,"0,45",22,4,0,"5,71",108,41,2,12,30,7,30,7
player_13,POR,43,3.870,1.353,1.230,0,0,0,0,0,0,0,0,"264,9 km",0,3,1,0,2,33,2,0,0,-,"3,4","6,12",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_14,"DF (IC), CR (I), ME (C)",46,3.959,2.843,2.675,248,77,6,"6,07",5,48,255,80,"533,1 km","9,48",100,75,4,40,23,3,0,101,28,"14,8","7,12",7,0,1,1,0,"1,25",244,163,17,21,28,6,28,6
player_15,DF (C),49,3.963,2.993,2.808,188,11,2,"4,79",3,15,136,51,"512,5 km","6,29",69,52,5,53,14,8,2,89,26,"18,12","2,52",26,"0,18",8,4,0,"1,74",308,232,24,18,2,1,2,1
player_16,ME/MP (C),23 (24),1.933,1.046,903,86,41,6,"9,56",15,19,231,60,"264,6 km","10,89",52,43,2,18,12,3,1,42,10,"16,06","8,66",17,"0,23",6,0,0,"2,26",60,16,0,6,66,13,17,2
player_17,"MC, ME (C)",37 (1),3.210,1.831,1.614,146,73,9,"8,13",13,40,389,110,"458,2 km","13,04",92,79,1,47,31,2,1,47,20,"14,19","10,49",48,"0,53",22,5,0,"4,46",143,93,0,6,32,9,32,9
player_18,"DF/CR (DI), ME (D)",19 (5),1.696,1.035,928,154,30,3,"2,77",4,36,173,46,"251,1 km","14,75",65,56,1,24,32,2,1,33,23,"14,65","11,3",18,"0,37",4,1,0,"1,73",76,50,3,17,46,7,30,7
player_19,DL (C),40 (2),3.089,808,694,30,30,4,"4,75",13,39,237,46,"424,8 km","7,81",46,30,0,59,83,4,0,39,13,"2,39","19,35",127,"1,25",62,22,8,"16,01",248,114,0,6,16,0,16,0
player_20,"ME (D), MP (DI), DL (C)",50,3.566,1.468,1.264,119,67,3,"5,35",8,110,512,141,"491,1 km","13,22",119,94,4,44,66,1,0,64,24,"5,02","16,05",126,"0,88",48,14,5,"12,77",198,69,0,13,115,17,115,17
player_21,DF (C),49,4.268,3.106,2.931,214,12,3,"2,55",2,12,149,54,"543,4 km","5,19",69,49,10,27,14,3,1,91,34,"17,19","2,26",11,"0,06",1,0,0,"1,65",310,188,15,19,6,3,6,3
player_22,"MC, ME (DIC)",39 (2),3.176,1.864,1.673,151,70,6,"6,17",13,42,357,113,"440,0 km","11,9",103,84,1,45,23,5,1,59,13,"13,29","12,02",30,"0,37",9,0,2,"2,52",112,38,0,8,82,11,43,5
player_23,DF/CR/ME/MP (I),34,3.046,1.859,1.683,223,72,5,"3,86",10,70,309,78,"416,7 km","13,5",100,82,9,41,53,4,0,74,31,"15,36","10,16",15,"0,09",8,1,0,"1,89",128,46,20,23,233,35,73,13
player_24,DF (C),4,360,267,258,18,0,0,0,1,2,11,3,"43,0 km","4,75",7,7,1,3,1,1,0,11,1,"17,75",2,2,"0,25",0,0,0,"0,14",25,20,2,1,1,1,1,1
player_25,ME/MP (DC),38 (2),2.977,1.551,1.378,122,57,8,"10,47",9,62,373,108,"415,7 km","10,64",87,66,1,50,21,9,2,47,22,"13,24","14,27",51,"0,42",26,4,2,"4,86",80,29,0,11,102,21,38,11
player_26,DF/CR (D),32 (3),2.623,1.811,1.679,214,17,5,"3,37",2,71,249,62,"372,0 km","14,07",86,66,0,46,26,2,0,86,20,"13,86","16,85",10,"0,1",1,1,0,"0,9",139,100,22,24,33,10,33,10
player_27,"DF (DC), CR (D)",15 (6),1.504,1.160,1.091,113,8,2,"1,08",2,13,59,16,"196,7 km","8,08",23,19,2,12,8,0,0,36,11,"18,25","4,85",10,"0,24",4,0,0,"0,7",100,63,17,6,4,1,4,1
player_28,"MP (DIC), DL (C)",34 (2),2.566,913,801,58,33,2,"3,76",7,54,279,67,"343,3 km","11,57",63,55,1,37,54,0,0,32,16,"5,65","13,15",88,"1,09",40,7,2,"8,68",213,73,0,3,95,15,51,12
player_29,"MP (DC), DL (C)",41 (3),3.208,847,724,42,38,4,"2,98",2,27,255,65,"430,1 km","7,15",62,45,0,24,85,0,0,30,15,"2,22","14,87",137,"0,9",70,18,4,"17,42",251,107,0,3,19,4,19,4
player_30,"ME (D), MP (DI)",35,2.641,1.123,952,74,40,1,"4,9",11,111,369,117,"373,7 km","16,15",105,81,2,48,42,2,0,48,22,"6,1","16,8",82,"0,99",36,8,3,"8,12",111,24,0,9,248,44,63,14
player_31,"MC, ME (C)",40 (1),3.024,1.883,1.688,158,37,6,"4,51",10,21,327,103,"441,3 km","12,38",103,79,1,41,32,7,0,43,28,"14,23","5,12",10,"0,09",2,0,0,"3,06",156,76,12,17,16,3,16,3
player_32,"ME (DI), MP (DIC), DL (C)",29,2.485,789,668,50,32,5,"4,21",3,57,271,67,"347,2 km","11,19",65,58,0,37,62,1,0,35,13,"3,55","13,04",62,"0,83",32,8,2,"7,01",185,81,0,2,44,4,44,4
player_33,DF/CR/ME/MP (I),42 (1),3.657,2.219,1.949,315,40,2,"2,38",9,118,399,117,"515,3 km","15,36",162,136,8,46,65,2,1,116,40,"12,23","14,42",20,"0,17",5,3,0,"3,4",131,54,11,31,50,9,50,9
player_34,DF/CR (I),33 (9),3.176,2.024,1.744,203,22,3,"2,71",6,61,307,104,"448,3 km","14,76",131,107,3,38,32,5,0,79,21,"12,81","14,4",7,"0,09",3,1,1,"0,48",172,117,21,12,71,16,71,16
player_35,"DF (IC), CR (I)",36,2.926,1.851,1.649,196,32,3,"3,9",8,53,295,82,"416,4 km","16,03",118,89,5,38,45,7,0,86,38,"14,06","10,89",7,"0,06",3,2,0,"0,5",137,87,24,23,63,11,63,11
player_36,"MP (DIC), DL (C)",16 (26),1.538,503,439,45,23,4,"3,37",4,48,181,50,"209,4 km","11,64",40,34,0,29,32,5,0,19,10,"4,68","14,75",55,"0,99",23,3,3,"4,81",92,26,0,3,31,3,31,3
player_37,"MC, ME (C)",1 (36),789,466,414,48,20,0,"1,55",1,6,91,24,"108,3 km","11,75",21,19,0,10,4,2,0,6,1,"11,52","6,05",4,0,1,1,0,"0,21",22,7,0,1,268,49,6,0
player_38,DF/CR/ME (D),43 (1),3.480,1.725,1.480,148,55,4,"2,56",5,96,482,133,"512,3 km","17,51",149,120,1,63,40,5,1,130,32,"11,95","16,5",9,"0,05",0,0,0,"1,3",129,71,23,19,249,31,249,31
player_39,"MC, ME (C)",10 (28),1.355,844,773,82,16,1,"1,75",6,13,156,37,"191,9 km","12,75",37,25,0,19,11,2,0,19,8,"16,74","6,84",21,"0,46",9,2,1,"1,5",70,41,3,5,9,4,9,4
player_40,"ME (I), MP (IC), DL (C)",9 (19),1.041,242,212,8,6,0,"0,33",1,18,84,13,"139,7 km",7,13,10,1,6,47,0,0,10,5,"1,3","19,02",53,"1,12",27,7,1,"6,33",77,9,0,2,6,1,6,1
player_41,"ME (C), MP (IC)",18 (25),1.960,1.141,1.030,78,27,1,"4,61",5,31,228,67,"283,6 km","13,55",61,53,1,28,16,7,0,30,12,"13,87","11,94",32,"0,28",19,9,1,"2,86",55,19,0,5,33,7,21,6
player_42,DF (DIC),45 (1),4.079,3.033,2.814,247,34,5,"4,13",10,25,245,96,"555,4 km","10,55",123,100,16,33,22,4,0,101,38,"13,15","11,98",9,"0,09",3,0,0,"1,27",213,138,20,28,45,9,45,9
player_43,DF (C),32 (1),2.702,2.098,1.981,111,21,5,"2,09",5,7,95,38,"354,1 km","6,43",48,33,11,28,13,14,0,51,30,"18,29","2,23",23,"0,2",4,0,0,"3,4",193,140,18,16,7,1,7,1
player_44,"ME/MP (DI), DL (C)",39 (2),3.096,803,683,33,29,2,"2,17",2,44,260,69,"416,0 km","7,76",65,49,0,37,101,1,0,29,9,"2,03","15,58",114,"1,1",57,16,2,"14,3",212,85,0,4,18,4,18,4
player_45,POR,35,3.035,978,861,0,4,0,0,0,0,0,0,"216,2 km",0,2,1,0,0,18,0,0,0,-,"4,42","4,98",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_46,"DF (DC), MC",41 (1),3.486,2.421,2.214,292,33,0,"3,03",5,74,312,94,"485,6 km","13,58",132,109,5,47,52,6,2,94,38,"13,92","12,57",28,"0,23",3,1,0,"2,6",233,151,21,24,51,6,51,6
player_47,DF (C),35,2.714,2.101,1.970,122,9,0,"1,05",3,4,88,36,"350,6 km","6,17",49,37,12,24,6,7,0,60,24,"16,65","3,45",14,"0,13",4,1,0,"1,62",206,150,23,13,10,0,10,0
player_48,"ME (C), MP (DC)",47,3.114,1.245,1.059,70,50,12,"8,46",17,75,393,76,"467,0 km","13,27",60,50,0,18,26,2,0,71,24,"12,49","18,44",74,"0,69",27,5,0,"8,57",137,22,0,10,19,2,19,2
player_49,"CR (D), MC, ME (DC), MP (C)",39 (2),3.118,1.897,1.713,154,33,2,"3,35",6,25,357,97,"460,0 km","13,71",96,82,5,62,22,10,2,70,26,"13,13","8,49",24,"0,2",6,2,1,"2,6",92,56,1,15,41,3,41,3
player_50,"ME (C), MP (DC)",40 (1),3.298,1.576,1.330,126,113,8,"5,24",15,84,503,146,"451,8 km","15,64",137,114,2,37,47,0,0,56,20,"5,92","16,89",84,"0,52",29,7,1,"11,21",139,51,0,5,221,44,107,21
player_51,DL (C),37 (1),3.250,744,659,23,21,3,"3,69",4,29,264,54,"426,4 km","7,23",56,45,0,43,77,2,0,28,9,"2,44","18,3",128,1,70,16,4,"14,91",337,196,0,1,20,3,20,3
player_52,DF (C),40,3.321,2.561,2.409,150,11,2,"0,67",2,5,100,38,"431,2 km","6,26",51,42,13,16,15,1,0,84,35,"16,31","2,33",9,"0,16",4,1,0,"0,61",254,183,32,18,7,0,7,0
player_53,"ME (D), MP (DIC), DL (C)",39,2.954,1.325,1.079,164,39,9,"11,09",14,120,412,105,"423,2 km","15,9",96,75,0,43,53,1,0,67,25,"5,58","11,61",49,"0,49",14,0,1,"5,44",114,26,0,9,70,9,65,8
player_54,"MC, ME (C)",36 (1),2.704,1.578,1.415,112,42,2,"2,6",7,17,339,86,"381,0 km","12,22",82,62,4,30,28,5,1,46,22,"14,15","8,45",22,"0,27",11,1,0,"2,31",114,54,0,9,27,4,27,4
player_55,DF/CR/ME (I),36,2.907,1.647,1.412,166,58,5,"5,07",11,62,425,99,"409,4 km","17,12",116,97,4,45,36,9,0,95,33,"12,94","11,98",3,0,0,0,0,"0,68",92,28,12,24,429,79,213,37
player_56,"MP (DC), DL (C)",37,2.384,885,750,62,84,7,"5,21",6,39,293,63,"347,1 km","11,55",53,42,0,34,31,3,0,49,13,"11,02","17,48",57,"0,87",18,2,1,"6,26",121,22,0,12,50,4,21,2
player_57,DL (C),29,2.379,585,488,19,17,6,"2,25",1,32,187,34,"310,1 km","6,58",29,19,0,32,68,1,0,31,9,"2,12","15,96",83,"0,87",36,10,3,"8,63",198,93,0,6,11,2,11,2
player_58,ME/MP (DIC),42,2.931,1.366,1.202,97,51,8,"9,22",17,59,366,80,"398,8 km","11,94",66,53,2,32,36,1,0,56,22,"10,19","14,16",39,"0,28",19,7,1,"5,9",89,24,0,17,224,35,32,5
player_59,DF/CR/ME/MP (D),31,2.707,1.702,1.567,225,21,4,"3,38",6,59,276,74,"387,1 km","14,93",115,102,6,28,48,2,0,85,36,"12,27","10,57",18,"0,17",3,3,0,"2,27",112,49,16,18,52,7,40,5
player_60,"CR (I), ME/MP (IC)",29 (13),2.226,1.303,1.116,146,121,4,"2,57",8,69,321,87,"323,7 km","15,57",88,76,3,28,36,0,0,58,15,"10,07","15,4",9,"0,04",1,0,0,"0,94",59,11,3,8,340,64,107,16
player_61,"MP (DIC), DL (C)",12,717,182,144,7,12,0,"1,2",1,9,53,8,"84,1 km","4,52",8,8,0,13,18,0,0,4,2,"2,26","13,81",31,"0,88",16,1,3,"3,12",58,17,0,0,72,7,6,1
player_62,"ME (C), MP (DIC), DL (C)",33,2.618,671,563,34,30,2,"2,73",6,29,209,49,"343,6 km","6,43",51,34,0,50,83,3,1,25,10,"2,44","14,92",85,"0,83",41,16,3,"8,43",198,43,0,3,13,4,13,4
player_63,ME/MP (C),2 (19),543,259,221,22,8,2,"0,78",3,8,71,14,"79,1 km","12,43",13,13,0,6,4,1,0,6,4,"12,6","10,77",9,"0,17",1,0,0,"1,07",18,3,0,1,5,0,5,0
player_64,"DF (C), MC, ME (C)",38 (6),3.161,2.207,2.022,168,25,6,"4,16",5,9,198,70,"414,1 km","7,32",80,65,9,41,13,6,2,52,34,"15,15","4,21",14,"0,09",2,0,1,"2,49",157,95,9,8,16,4,16,4
player_65,"ME (D), MP (DIC), DL (C)",13 (7),1.034,264,231,12,10,1,"1,3",1,15,86,21,"139,0 km","6,62",16,14,0,13,26,3,0,8,2,"1,74","19,93",55,"0,78",25,7,0,"7,05",79,19,0,1,9,3,9,3
player_66,POR,43 (1),3.831,1.398,1.234,0,0,0,0,0,0,0,0,"275,9 km",0,5,2,0,0,11,0,1,0,-,"3,64","10,01",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_67,"DF (C), MC",37,3.330,2.572,2.409,164,10,2,"1,56",2,5,122,49,"419,5 km","5,89",65,51,15,22,15,4,0,75,34,"16,89","2,43",14,"0,14",7,2,1,"1,15",209,139,25,18,6,0,6,0
player_68,"DF (C), MC",35,3.114,2.416,2.251,183,8,1,"1,38",2,12,106,42,"402,5 km","6,79",52,41,8,22,14,7,0,74,27,"16,76","2,17",17,"0,09",5,0,0,"1,47",239,167,26,16,9,3,9,3
player_69,"DF/CR (D), MC, ME (DC)",47,4.028,2.751,2.409,357,48,7,"5,25",8,64,414,119,"579,2 km","13,85",161,136,6,48,41,6,1,89,38,"10,93","16,62",17,"0,11",2,0,1,"1,51",164,62,12,18,74,12,74,12
player_70,DF (C),14 (5),1.291,981,920,56,2,0,"0,26",0,1,52,18,"157,5 km","4,88",21,19,3,11,1,4,0,27,12,"13,73","4,6",5,0,1,0,0,"0,46",86,49,13,6,3,2,3,2
player_71,"DF (IC), CR (I)",4 (3),489,378,352,27,0,0,"0,29",0,1,16,4,"61,9 km","5,71",6,6,0,6,3,0,0,7,9,"13,25","2,76",2,"0,18",0,0,0,"0,15",30,15,5,2,0,0,0,0
player_72,DL (C),24 (18),2.389,590,501,22,20,1,"1,36",4,19,180,34,"307,9 km","6,33",35,28,2,41,51,2,1,29,9,"1,62","16,46",134,"1,47",69,18,3,"14,04",194,104,0,3,6,3,6,3
player_73,"DF (IC), CR (I), MC",34 (3),2.744,1.744,1.596,163,31,11,"8,13",12,23,287,84,"393,5 km","12,14",91,71,3,42,23,5,0,49,24,"13,71","6,82",6,"0,1",0,0,0,"0,61",121,71,15,21,14,3,14,3
player_74,"ME/MP (DI), DL (C)",37 (7),2.759,1.007,849,76,37,4,"3,3",5,94,362,105,"367,5 km","12,72",92,79,2,40,46,4,0,60,31,"3,85","17,29",57,"0,62",22,6,3,"8,04",102,23,0,9,78,10,78,10
player_75,DF (C),42,3.493,2.600,2.431,156,10,4,"2,6",7,4,109,42,"431,4 km","5,72",57,45,9,25,6,5,1,78,31,"16,13","3,35",13,"0,05",1,0,0,"1,25",252,179,46,15,8,1,8,1
player_76,POR,35,3.147,1.116,1.017,0,0,0,0,0,0,0,0,"214,5 km",0,4,2,0,0,26,0,0,0,-,"4,46","4,69",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_77,"MC, ME (DC)",37,3.015,1.697,1.493,119,40,7,"9,66",18,42,354,122,"414,4 km","12,3",109,80,2,55,24,5,0,37,10,"13,43","12,15",36,"0,36",15,4,0,"3,04",130,56,0,13,32,6,32,6
player_78,"MP (DI), DL (C)",32,2.425,836,715,75,52,3,"4,28",9,91,333,106,"317,1 km","12,51",82,68,2,24,49,2,0,37,15,"4,05","16,11",55,"0,63",22,8,1,"5,71",106,16,0,9,80,12,75,11
player_79,"ME/MP (DC), DL (C)",17 (16),1.666,865,788,78,24,0,"5,23",4,44,211,54,"233,9 km","11,45",39,29,3,12,10,2,0,31,11,"11,45","10,32",35,"0,43",19,4,0,"4,02",51,16,0,5,60,6,15,1
player_80,POR,5 (1),480,177,120,0,0,0,0,0,0,0,0,"33,8 km",0,0,-,0,0,1,0,0,0,-,"4,31","7,5",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_81,"DF (C), MC",36,3.158,2.354,2.199,127,12,3,"1,59",1,10,130,39,"401,9 km","5,81",56,46,8,18,21,6,0,68,34,"15,73","2,02",26,"0,28",4,1,1,"2,93",159,109,32,19,6,2,6,2
player_82,"MP (DIC), DL (C)",35 (1),2.755,684,585,23,20,4,"4,5",4,32,225,66,"357,3 km","6,44",63,48,0,40,55,1,0,26,5,"2,74","15,32",143,"1,24",77,14,3,"18,8",213,43,0,2,15,1,15,1
player_83,DF (C),24,2.114,1.399,1.255,112,6,0,"0,19",0,1,74,35,"264,0 km","5,79",42,35,8,18,9,6,0,44,18,"14,18","4,34",7,"0,13",1,1,0,"0,47",173,133,24,9,5,0,5,0
player_84,DF (C),10 (5),941,633,577,47,4,1,"0,54",0,3,36,18,"117,2 km","4,5",22,18,4,13,3,3,0,17,10,"13,58","3,44",4,0,1,1,0,"0,47",68,51,9,1,2,0,2,0
