Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
player_0,30/6/2029,1.729.000 EUR p/m,N/D,N/D,Felix Gerlach,278M EUR - 303M EUR,-,-,1Mil.M EUR
player_1,30/6/2026,1.496.000 EUR p/m,N/D,N/D,Alexander Peters,No a la venta,-,-,500M EUR
player_2,30/6/2027,1.729.000 EUR p/m,N/D,N/D,Rodrigo Casanova,216M EUR - 259M EUR,-,-,750M EUR
player_3,30/6/2026,1.163.000 EUR p/m,N/D,N/D,Jose Andres Dominguez,No a la venta,-,-,500M EUR
player_4,30/6/2029,690.000 EUR p/m,N/D,N/D,Romain Bellocq,222M EUR - 244M EUR,-,-,1Mil.M EUR
player_5,30/6/2028,1.000.000 EUR p/m,N/D,N/D,Xavi Aguirre,224M EUR - 244M EUR,-,-,1Mil.M EUR
player_6,30/6/2028,648.000 EUR p/m,N/D,N/D,Antonio Valiente,No a la venta,-,-,500M EUR
player_7,30/6/2026,1.283.000 EUR p/m,N/D,N/D,Antonio Vargas,No a la venta,-,-,700M EUR
player_8,30/6/2028,625.000 EUR p/m,N/D,N/D,Jose Andres Dominguez,134M EUR - 196M EUR,-,-,395M EUR
player_9,30/6/2028,1.160.000 EUR p/m,N/D,N/D,Xavi Aguirre,188M EUR - 212M EUR,-,-,426M EUR
player_10,30/6/2029,909.000 EUR p/m,N/D,N/D,Antonio Valiente,203M EUR - 244M EUR,-,-,1Mil.M EUR
player_11,30/6/2028,745.000 EUR p/m,N/D,N/D,Xavi Aguirre,94M EUR - 116M EUR,-,-,474M EUR
player_12,30/6/2025,758.000 EUR p/m,N/D,N/D,Alex Moody,16M EUR - 20M EUR,-,-,400M EUR
player_13,30/6/2028,1.543.000 EUR p/m,N/D,N/D,Antonio Jose Albarran,No a la venta,-,-,120M EUR
player_14,30/6/2026,1.870.000 EUR p/m,N/D,N/D,Thomas Schmitt,No a la venta,-,-,850M EUR
player_15,30/6/2026,1.205.000 EUR p/m,N/D,N/D,Danny Chandler,No a la venta,-,-,247M EUR
player_16,30/6/2025,1.033.000 EUR p/m,N/D,N/D,Xavi Aguirre,"700m EUR - 10,5M EUR",-,-,"15,75M EUR"
player_17,30/6/2027,342.000 EUR p/m,N/D,N/D,Alvaro Trigo,64M EUR - 98M EUR,-,-,102M EUR
player_18,30/6/2027,1.112.000 EUR p/m,N/D,N/D,Juan Antonio Yubero,48M EUR - 60M EUR,-,-,-
player_19,30/6/2026,552.000 EUR p/m,N/D,N/D,Ruben Cornejo,No a la venta,-,-,215M EUR
player_20,30/6/2029,836.000 EUR p/m,N/D,N/D,Will Law,78M EUR - 95M EUR,-,-,468M EUR
player_21,30/6/2028,1.000.000 EUR p/m,N/D,N/D,Leon Whalley,46M EUR - 58M EUR,-,-,292M EUR
player_22,30/6/2025,899.000 EUR p/m,N/D,N/D,Antonio Jose Albarran,64M EUR - 98M EUR,-,-,274M EUR
player_23,30/6/2027,292.000 EUR p/m,N/D,N/D,Julio Cesar Rodriguez,70M EUR - 84M EUR,-,-,100M EUR
player_24,30/6/2028,772.000 EUR p/m,N/D,N/D,Rodrigo Casanova,107M EUR - 163M EUR,-,-,1Mil.M EUR
player_25,30/6/2027,513.000 EUR p/m,N/D,N/D,Ivan Nardi,70M EUR - 89M EUR,-,-,369M EUR
player_26,30/6/2025,864.000 EUR p/m,N/D,N/D,Jose Luis Ramos,22M EUR,-,-,350M EUR
player_27,30/6/2027,792.000 EUR p/m,N/D,N/D,Antonio Jose Albarran,62M EUR - 94M EUR,-,-,1Mil.M EUR
player_28,30/6/2028,187.000 EUR p/m,N/D,N/D,Jairo Olivera,59M EUR - 75M EUR,-,-,75M EUR
player_29,30/6/2027,223.000 EUR p/m,N/D,N/D,Fernando Nadal,No a la venta,-,-,100M EUR
player_30,30/6/2027,1.000.000 EUR p/m,N/D,N/D,Neil Hall,63M EUR - 76M EUR,-,-,999M EUR
player_31,30/6/2024,213.000 EUR p/m,N/D,N/D,Javier Rodriguez,"7M EUR - 8,8M EUR",-,-,80M EUR
