Nombre,Club,Posición,Altura,Peso,Edad,Pierna buena,Personalidad,Conocimientos,Felicidad general,Media,Nac,RM,Estilo
player_0,R. Madrid,"MC, ME/MP (C)",186 cm,75 kg,20.0,Derecha,Perfeccionista,---,Esta contento por estar en un equipo con exito,7.41,ENG,Excepcional,Lider
player_1,Barcelona,"MP (C), DL (C)",185 cm,80 kg,35.0,Derecha,Profesional,---,Esta contento por estar en un equipo con exito,7.27,POL,Excepcional,Inteligente
player_2,R. Madrid,"ME (I), MP (DI), DL (C)",176 cm,73 kg,23.0,Derecha,Perfeccionista,---,Esta contento por estar en un equipo con exito,7.14,BRA,Excepcional,Fisico
player_3,A. Madrid,"MP (DIC), DL (C)",175 cm,70 kg,33.0,Izquierda,Resuelto,---,Esta contento por estar en un equipo con exito,7.30,FRA,Soberbia+,Creativo
player_4,R. Madrid,"DF (I), MC, ME (C)",182 cm,68 kg,21.0,Izquierda,Energico,---,Esta contento por estar en un equipo con exito,7.26,FRA,Soberbia+,Fisico
player_5,R. Madrid,"ME (D), MP (DI), DL (C)",174 cm,64 kg,23.0,Derecha,Bastante profesional,---,Esta contento por estar en un equipo con exito,7.20,BRA,Soberbia+,Fisico
player_6,Barcelona,POR,187 cm,85 kg,32.0,Derecha,Profesional,---,Esta contento por estar en un equipo con exito,7.24,GER,Soberbia+,Distribuidor
player_7,R. Madrid,POR,200 cm,96 kg,32.0,Izquierda,Energico,---,Esta contento por estar en un equipo con exito,6.89,BEL,Soberbia+,Distribuidor
player_8,Barcelona,"DF (DC), CR (D)",188 cm,91 kg,25.0,Derecha,Motivado,---,Sin preocupaciones actualmente,7.12,URU,Soberbia+,Lider
player_9,Barcelona,"MC, ME (C)",181 cm,69 kg,27.0,Derecha,Resuelto,---,Esta contento por estar en un equipo con exito,7.21,NED,Soberbia+,Inteligente
player_10,R. Madrid,"MC, ME (DC), MP (D)",182 cm,78 kg,25.0,Derecha,Perfeccionista,---,Esta contento por estar en un equipo con exito,07.08,URU,Soberbia+,Fisico
player_11,Barcelona,"ME (C), MP (DIC)",174 cm,65 kg,21.0,Derecha,Bastante profesional,---,Esta contento por estar en un equipo con exito,7.26,ESP,Soberbia+,Creativo
player_12,Barcelona,"MC, ME/MP (C)",180 cm,80 kg,33.0,Derecha,Profesional,---,Esta contento por estar en un equipo con exito,7.21,GER,Soberbia+,Inteligente
player_13,A. Madrid,POR,189 cm,84 kg,31.0,Derecha,Alegre,---,Esta contento por estar en un equipo con exito,6.93,SVN,Soberbia+,Distribuidor
player_14,R. Madrid,"DF (IC), CR (I), ME (C)",180 cm,78 kg,31.0,Izquierda,Energico,---,Esta contento por estar en un equipo con exito,7.12,AUT,Soberbia+,Tecnico
player_15,R. Madrid,DF (C),190 cm,86 kg,31.0,Derecha,Ambicioso,---,Esta contento por estar en un equipo con exito,07.06,GER,Soberbia,Fisico
player_16,R. Madrid,ME/MP (C),172 cm,66 kg,38.0,Derecha,Ciudadano modelo,---,Esta contento por estar en un equipo con exito,6.95,CRO,Soberbia,Tecnico
player_17,Real San Sebastian,"MC, ME (C)",187 cm,79 kg,27.0,Izquierda,Resuelto,---,Esta contento por estar en un equipo con exito,7.36,ESP,Soberbia,Fisico
player_18,Barcelona,"DF/CR (DI), ME (D)",182 cm,74 kg,30.0,Derecha,Ambicioso,---,Esta contento por estar en un equipo con exito,07.07,POR,Soberbia,Tecnico
player_19,A. Madrid,DL (C),189 cm,84 kg,31.0,Derecha,Bastante leal,---,Esta contento por estar en un equipo con exito,7.10,ESP,Soberbia,Fisico
player_20,Barcelona,"ME (D), MP (DI), DL (C)",184 cm,77 kg,24.0,Derecha,Resuelto,---,Contento por haber firmado un nuevo contrato,7.26,ESP,Soberbia,Fisico
player_21,Barcelona,DF (C),188 cm,78 kg,28.0,Derecha,Bastante ambicioso,---,nan,7.00,DEN,Soberbia,Inteligente
player_22,A. Madrid,"MC, ME (DIC)",178 cm,73 kg,32.0,Derecha,Resuelto,---,nan,07.08,ESP,Soberbia,Lider
player_23,Valencia,DF/CR/ME/MP (I),172 cm,66 kg,29.0,Solo izquierda,Profesional,---,nan,7.17,ESP,Soberbia,Tecnico
player_24,R. Madrid,DF (C),186 cm,78 kg,26.0,Derecha,Energico,---,nan,6.97,BRA,Soberbia,Fisico
player_25,A. Madrid,ME/MP (DC),180 cm,70 kg,30.0,Derecha,Bastante decidido,---,nan,07.08,ARG,Soberbia,Tecnico
player_26,R. Madrid,DF/CR (D),173 cm,74 kg,32.0,Derecha,Perfeccionista,---,nan,07.09,ESP,Soberbia,Lider
player_27,Barcelona,"DF (DC), CR (D)",178 cm,70 kg,25.0,Derecha,Bastante decidido,---,nan,07.05,FRA,Soberbia,Tecnico
player_28,Real San Sebastian,"MP (DIC), DL (C)",180 cm,77 kg,27.0,Izquierda,Profesional,---,nan,07.02,ESP,Soberbia,Tecnico
player_29,Villarreal,"MP (DC), DL (C)",180 cm,76 kg,32.0,Izquierda,Resuelto,---,nan,07.03,ESP,Soberbia,Inteligente
player_30,Barcelona,"ME (D), MP (DI)",176 cm,68 kg,27.0,Izquierda,Perfeccionista,---,nan,7.34,BRA,Soberbia,Tecnico
player_31,Real Hispalis,"MC, ME (C)",185 cm,80 kg,30.0,Derecha,Resuelto,---,nan,6.91,ARG,Soberbia,Inteligente
player_32,A. Bilbao,"ME (DI), MP (DIC), DL (C)",186 cm,80 kg,30.0,Derecha,Equilibrada,---,nan,7.18,GHA,Soberbia,Fisico
player_33,Barcelona,DF/CR/ME/MP (I),175 cm,69 kg,20.0,Izquierda,Equilibrada,---,nan,7.14,ESP,Soberbia,Fisico
player_34,R. Madrid,DF/CR (I),180 cm,73 kg,29.0,Izquierda,Bastante decidido,---,nan,7.00,FRA,Soberbia,Fisico
player_35,Real San Sebastian,"DF (IC), CR (I)",178 cm,76 kg,27.0,Izquierda,Motivado,---,nan,7.15,SCO,Soberbia,Lider
player_36,Barcelona,"MP (DIC), DL (C)",178 cm,74 kg,24.0,Derecha,Ambicioso,---,nan,07.02,POR,Soberbia,Creativo
player_37,R. Madrid,"MC, ME (C)",183 cm,76 kg,34.0,Derecha,Bastante profesional,---,nan,6.76,GER,Soberbia,Inteligente
player_38,A. Madrid,DF/CR/ME (D),175 cm,70 kg,26.0,Derecha,Energico,---,nan,6.84,ARG,Soberbia,Tecnico
player_39,R. Madrid,"MC, ME (C)",188 cm,82 kg,24.0,Derecha,Energico,---,nan,6.86,FRA,Soberbia,Fisico
player_40,A. Madrid,"ME (I), MP (IC), DL (C)",176 cm,77 kg,30.0,Derecha,Bastante decidido,---,nan,6.84,NED,Soberbia,Creativo
player_41,Barcelona,"ME (C), MP (IC)",173 cm,70 kg,19.0,Derecha,Perfeccionista,---,nan,6.95,ESP,Soberbia,Lider
player_42,R. Madrid,DF (DIC),180 cm,77 kg,34.0,Derecha,Profesional,---,nan,7.14,ESP,Soberbia,Inteligente
player_43,Sevilla,DF (C),184 cm,80 kg,38.0,Derecha,Perfeccionista,---,nan,7.11,ESP,Soberbia,Lider
player_44,Sevilla,"ME/MP (DI), DL (C)",187 cm,84 kg,29.0,Derecha,Bastante decidido,---,nan,6.87,ARG,Soberbia,Lider
player_45,A. Bilbao,POR,190 cm,89 kg,27.0,Derecha,Bastante decidido,---,nan,6.73,ESP,Soberbia,Con autoridad
player_46,Villarreal,"DF (DC), MC",187 cm,69 kg,26.0,Derecha,Equilibrada,---,nan,6.94,ARG,Soberbia,Tecnico
