Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,FC,FR,Ama,Roj.,Rob,Pos Gan/90,Pos Perd/90,Disparos,TaP,Disparos fuera área/90,Gol,Goles fuera del área,xG,xG- SP,Cab Int,Cen.In,Cab,Cen.Com,Cen I-Ab,Cen C-Ab,Fdj,GlEq
player_0,"MC, ME/MP (C)",44,3.641,2.068,1.800,159,83,10,"10,96",19,75,394,122,"500,4 km","12,33",65,28,8,0,58,"18,17","4,3",108,46,"0,91",12,2,"11,64","10,83",158,40,74,12,40,12,7,80
player_1,"MP (C), DL (C)",45 (1),3.937,988,838,33,64,4,"6,06",5,52,303,53,"516,2 km","7,29",57,121,3,0,51,"3,11","9,69",161,91,"1,21",28,5,"20,91","20,1",329,9,166,0,9,0,35,77
player_2,"ME (I), MP (DI), DL (C)",48 (1),4.080,1.065,912,46,33,5,"6,61",10,77,310,60,"554,3 km","7,7",78,141,5,0,37,"2,85","5,4",233,128,"1,35",30,6,"24,85","24,85",306,13,86,2,13,2,35,90
player_3,"MP (DIC), DL (C)",41 (2),3.588,935,791,38,38,9,"9,18",12,58,298,65,"476,0 km","6,95",35,132,1,0,39,"3,44","10,94",185,94,"1,45",31,8,"21,33","21,33",257,29,62,3,20,2,18,65
player_4,"DF (I), MC, ME (C)",51 (1),4.158,2.431,2.157,182,67,8,"6,79",8,77,474,145,"584,9 km","13,46",55,37,4,0,67,"16,97","6,49",53,21,"0,41",7,2,"6,84","6,84",187,50,88,10,50,10,7,97
player_5,"ME (D), MP (DI), DL (C)",50 (1),4.032,1.027,876,42,56,1,"2,6",12,68,367,74,"532,8 km","7,23",39,131,0,0,45,"2,63","9,4",223,115,"1,76",33,10,"25,37","25,37",305,21,68,4,21,4,24,95
player_6,POR,44,3.956,1.405,1.252,0,0,0,0,0,0,0,0,"266,1 km",0,0,22,0,0,0,"4,96","2,8",0,-,-,0,-,0,0,-,-,-,-,-,-,0,81
player_7,POR,10,890,278,232,0,0,0,0,0,0,0,0,"61,1 km",0,0,4,0,0,0,"3,44","4,45",0,-,-,0,-,0,0,-,-,-,-,-,-,0,18
player_8,"DF (DC), CR (D)",46,4.021,3.015,2.776,162,9,3,"1,89",1,9,138,46,"508,7 km","6,22",40,20,9,1,82,"20,23","1,68",23,3,"0,13",0,1,"2,73","2,73",284,7,215,1,7,1,4,79
player_9,"MC, ME (C)",48,3.557,2.160,1.924,210,66,14,"12,33",21,50,418,130,"506,0 km","11,59",26,30,0,0,66,"16,35","5,41",36,11,"0,35",3,0,"4,63","4,63",120,21,59,5,21,5,3,74
player_10,"MC, ME (DC), MP (D)",47 (4),4.030,2.560,2.300,241,60,8,"8,79",16,55,457,143,"589,7 km","13,33",37,43,0,0,91,"13,67","4,91",35,9,"0,25",1,4,"5,04","5,04",128,26,81,7,26,7,0,90
player_11,"ME (C), MP (DIC)",42 (1),3.402,1.903,1.632,173,89,7,"9,9",18,76,417,117,"480,2 km","12,99",21,53,2,0,59,"13,89","9,42",84,37,"0,74",8,2,"8,82","8,82",88,50,24,9,50,9,2,66
player_12,"MC, ME/MP (C)",40 (3),3.407,2.048,1.812,197,97,7,"8,8",21,46,378,133,"481,6 km","12,13",52,24,5,0,60,"16,35","6,5",54,22,"0,45",4,0,"5,71","5,71",108,30,41,7,30,7,6,73
player_13,POR,43,3.870,1.353,1.230,0,0,0,0,0,0,0,0,"264,9 km",0,2,33,2,0,0,"3,4","6,12",0,-,-,0,-,0,0,-,-,-,-,-,-,0,66
player_14,"DF (IC), CR (I), ME (C)",46,3.959,2.843,2.675,248,77,6,"6,07",5,48,255,80,"533,1 km","9,48",40,23,3,0,101,"14,8","7,12",7,1,0,1,0,"1,25","1,25",244,28,163,6,28,6,1,92
player_15,DF (C),49,3.963,2.993,2.808,188,11,2,"4,79",3,15,136,51,"512,5 km","6,29",53,14,8,2,89,"18,12","2,52",26,8,"0,18",4,0,"1,74","1,74",308,2,232,1,2,1,1,83
player_16,ME/MP (C),23 (24),1.933,1.046,903,86,41,6,"9,56",15,19,231,60,"264,6 km","10,89",18,12,3,1,42,"16,06","8,66",17,6,"0,23",0,0,"2,26","2,26",60,66,16,13,17,2,1,51
player_17,"MC, ME (C)",37 (1),3.210,1.831,1.614,146,73,9,"8,13",13,40,389,110,"458,2 km","13,04",47,31,2,1,47,"14,19","10,49",48,22,"0,53",5,0,"4,46","4,46",143,32,93,9,32,9,5,50
player_18,"DF/CR (DI), ME (D)",19 (5),1.696,1.035,928,154,30,3,"2,77",4,36,173,46,"251,1 km","14,75",24,32,2,1,33,"14,65","11,3",18,4,"0,37",1,0,"1,73","1,73",76,46,50,7,30,7,0,35
