Club,División,Juega en
Intercity,Primera Division Federacion B espanola,ESP
Levante,Segunda Division espanola,ESP
Mirandes,Segunda Division espanola,ESP
H. Alicante,Segunda Division Federacion Grupo 3 espanola,ESP
Cartagena B,Segunda Division Federacion Grupo 4 espanola,ESP
Eldense,Segunda Division espanola,ESP
Malaga,Primera Division Federacion B espanola,ESP
R. Majadahonda,Primera Division Federacion A espanola,ESP
Sabadell,Primera Division Federacion A espanola,ESP
Velez C.F.,Segunda Division Federacion Grupo 4 espanola,ESP
Alaves,Primera Division espanola,ESP
Andratx,Segunda Division Federacion Grupo 3 espanola,ESP
Murcia,Primera Division Federacion B espanola,ESP
Segoviana,Segunda Division Federacion Grupo 5 espanola,ESP
Covadonga,Segunda Division Federacion Grupo 1 espanola,ESP
Talavera,Segunda Division Federacion Grupo 5 espanola,ESP
Ponferrada,Primera Division Federacion A espanola,ESP
Aguilas,Segunda Division Federacion Grupo 4 espanola,ESP
Getafe B,Segunda Division Federacion Grupo 5 espanola,ESP
Guadalajara,Segunda Division Federacion Grupo 5 espanola,ESP
Real Hispalis,Primera Division espanola,ESP
Las Palmas,Primera Division espanola,ESP
Sevilla,Primera Division espanola,ESP
Alzira,Segunda Division Federacion Grupo 3 espanola,ESP
Marino,Segunda Division Federacion Grupo 1 espanola,ESP
Mensajero,Segunda Division Federacion Grupo 5 espanola,ESP
C.D. Estepona,Segunda Division Federacion Grupo 4 espanola,ESP
Valencia B,Segunda Division Federacion Grupo 3 espanola,ESP
Leganes,Segunda Division espanola,ESP
Zaragoza B,Segunda Division Federacion Grupo 2 espanola,ESP
Linense,Segunda Division Federacion Grupo 4 espanola,ESP
Merida,Primera Division Federacion B espanola,ESP
La Nucia,Segunda Division Federacion Grupo 3 espanola,ESP
Montijo,Segunda Division Federacion Grupo 5 espanola,ESP
A. Bilbao B,Segunda Division Federacion Grupo 2 espanola,ESP
Alcorcon,Segunda Division espanola,ESP
A. Sagunto,Segunda Division Federacion Grupo 3 espanola,ESP
Cordoba,Primera Division Federacion B espanola,ESP
Algeciras,Primera Division Federacion B espanola,ESP
A.D. San Juan,Segunda Division Federacion Grupo 2 espanola,ESP
Coruna,Primera Division Federacion A espanola,ESP
Oviedo B,Segunda Division Federacion Grupo 1 espanola,ESP
U. Adarve,Segunda Division Federacion Grupo 5 espanola,ESP
Granada B,Primera Division Federacion B espanola,ESP
Arandina,Segunda Division Federacion Grupo 1 espanola,ESP
Huesca,Segunda Division espanola,ESP
Alaves B,Segunda Division Federacion Grupo 2 espanola,ESP
Vallecano,Primera Division espanola,ESP
Unionistas,Primera Division Federacion A espanola,ESP
